Route ID,Departure City,Arrival City,Departure Time,Arrival Time,Train Type,Days of Operation,First Class ticket rate (in euro),Second Class ticket rate (in euro)
R00003,A Coruña,Santander,12:05,14:17,RJX,Fri-Sun,115,70
R00004,A Coruña,Santander,12:50,15:54,ICE,Daily,97,69
R00007,A Coruña,Santiago de Compostela,16:50,20:08,InterCity,"Mon,Wed,Fri",95,60
R00008,A Coruña,Vigo,13:35,17:10,Frecciarossa,"Tue,Thu",141,97
R00009,A Coruña,Vigo,09:45,11:49,RJX,"Tue,Thu",118,72
R00013,Aalborg,Lund,05:50,10:11,RegioExpress,Daily,58,43
R00016,Aalborg,Malmö,08:10,11:40,EuroCity,"Mon,Wed,Fri",83,57
R00021,Aalborg,Odense,17:40,19:06,TGV,Sat-Sun,54,38
R00026,Aarhus,Copenhagen,12:45,14:42,TGV,Sat-Sun,77,54
R00033,Aarhus,Odense,14:15,16:43,Italo,Mon-Fri,99,62
R00034,Alicante,Cartagena,09:35,14:44,RE,Sat-Sun,75,60
R00035,Alicante,Cartagena,21:40,08:08 (+1d),Nightjet,Fri-Sun,364,225
R00037,Alicante,Cuenca,15:25,18:57,Intercités,Daily,103,68
R00041,Alicante,Murcia,19:35,22:12,EuroCity,Fri-Sun,61,39
R00043,Alicante,Valencia,08:35,10:25,TGV,Mon-Fri,48,33
R00044,Alicante,Valencia,14:25,15:50,Thalys,"Mon,Wed,Fri",68,41
R00046,Almería,Cartagena,15:05,16:57,RJX,"Mon,Wed,Fri",92,56
R00056,Almería,Málaga,12:15,15:03,TGV,Sat-Sun,128,79
R00060,Amiens,Calais,08:50,11:33,ICE,"Mon,Wed,Fri",114,71
R00062,Amiens,Lille,13:15,15:37,Eurostar,"Mon,Wed,Fri",88,63
R00063,Amiens,Lille,20:45,09:28 (+1d),Nightjet,Fri-Sun,343,215
R00065,Amiens,Rouen,10:50,15:39,RegioExpress,Mon-Fri,49,41
R00066,Amiens,Rouen,15:10,17:58,EuroCity,Sat-Sun,70,49
R00068,Amiens,Versailles,10:35,13:19,Frecciarossa,"Tue,Thu",101,68
R00070,Amsterdam,Berlin,11:00,16:34,RE,Fri-Sun,87,72
R00071,Amsterdam,Berlin,06:05,09:42,Frecciarossa,Sat-Sun,115,75
R00074,Amsterdam,Birmingham,13:45,15:39,Frecciarossa,"Mon,Wed,Fri",106,71
R00076,Amsterdam,Bruges,18:25,21:45,TER,"Tue,Thu",48,38
R00079,Amsterdam,Brussels,14:00,16:42,Frecciarossa,Mon-Fri,120,81
R00080,Amsterdam,Brussels,15:35,17:41,RJX,Mon-Fri,70,50
R00082,Amsterdam,Hamburg,18:00,05:53 (+1d),Nightjet,Fri-Sun,388,251
R00086,Amsterdam,Liège,09:10,12:28,IC,"Tue,Thu",103,72
R00087,Amsterdam,Liège,21:50,08:29 (+1d),Nightjet,"Mon,Wed,Fri",438,231
R00089,Amsterdam,London,09:35,14:08,AVE,Fri-Sun,190,121
R00092,Amsterdam,Manchester,12:40,15:50,RJX,Mon-Fri,99,71
R00096,Amsterdam,Paris,15:15,19:23,EuroCity,Daily,74,54
R00099,Amsterdam,Rotterdam,13:20,15:25,AVE,"Mon,Wed,Fri",63,43
R00100,Amsterdam,Rotterdam,15:00,17:17,Frecciarossa,"Mon,Wed,Fri",98,63
R00103,Amsterdam,Utrecht,17:10,20:37,InterCity,Daily,61,43
R00104,Amsterdam,Utrecht,12:05,14:01,RJX,Fri-Sun,60,40
R00105,Ancona,Arezzo,16:45,18:48,RE,Daily,22,17
R00106,Ancona,Arezzo,12:25,15:03,RJX,"Mon,Wed,Fri",77,57
R00108,Ancona,Forlì,14:55,20:45,TER,"Tue,Thu",82,67
R00109,Ancona,Forlì,13:15,15:45,Eurostar,Sat-Sun,72,53
R00114,Ancona,Rimini,12:30,15:21,Intercités,Daily,63,45
R00115,Ancona,Rimini,15:20,17:14,EuroCity,Sat-Sun,62,44
R00117,Angers,Le Mans,12:05,15:36,IC,Sat-Sun,61,42
R00120,Angers,Nantes,19:20,22:31,Eurostar,"Tue,Thu",81,56
R00121,Angers,Nantes,15:45,18:02,Intercités,"Tue,Thu",54,35
R00124,Angers,Rennes,11:40,14:25,Thalys,Fri-Sun,105,65
R00125,Angers,Tours,09:30,11:46,EuroCity,"Tue,Thu",61,40
R00126,Angers,Tours,11:10,12:24,Frecciarossa,Sat-Sun,43,29
R00128,Annecy,Chambéry,15:10,18:58,RegioExpress,Sat-Sun,75,58
R00129,Annecy,Chambéry,17:35,20:35,Thalys,"Tue,Thu",84,61
R00132,Annecy,Dijon,14:55,16:30,Railjet,Daily,74,44
R00139,Annecy,Reims,15:30,16:40,Railjet,Daily,60,42
R00145,Antwerp,Brussels,11:25,13:35,TER,Fri-Sun,26,21
R00146,Antwerp,Brussels,18:55,21:09,Frecciarossa,Sat-Sun,77,51
R00150,Antwerp,Calais,05:05,07:33,Frecciarossa,Daily,98,58
R00153,Antwerp,Ghent,18:30,02:37 (+1d),Nightjet,Daily,300,177
R00154,Antwerp,Ghent,17:40,20:45,IC,Sat-Sun,63,46
R00159,Arezzo,Florence,12:50,15:56,RE,Sat-Sun,53,40
R00162,Arezzo,Livorno,09:45,13:10,Intercités,Sat-Sun,81,51
R00163,Arezzo,Livorno,09:20,12:54,RE,Fri-Sun,46,37
